"","Group.1","a5","a6","b1","b2","b3","b4","b5","b6","b7","b8","b9","c1","c2","c3","c4","c5","c6","c7","c8","c9","marrgp","incogp","sexgp","agegp"
"1",1,0.890218968,6.093859272,3.868311852,4.877830434,3.16622925,5.203640304,4.827367572,4.827367572,3.49203912,3.303902754,3.868311852,1.523464818,1.523464818,1.523464818,1.968574302,1.523464818,1.523464818,3.680175486,3.680175486,1.078355334,1.078355334,37.74243669,1.078355334,3.046929636
"2",2,5.5335122965,5.77292469791667,5.43398641508333,5.63296689429167,5.35523221791667,5.255975439,5.95883369054167,5.411059907,5.32879208225,4.85936778179167,5.14979111045833,1.42299458114286,1.31077832931818,1.743870815,1.77416386754545,1.16915444613636,1.83307929347826,2.30355948230435,2.36588518282609,1.86967532536364,1.56022679125,54.302433836875,1.22443669875,3.080397749375
"3",3,5.72787655,5.72787655,5.72787655,4.58230124,5.72787655,5.003189508,4.278502466,4.033248439,4.886100014,5.72787655,5.306988282,0.783231789,0.783231789,1.566463578,1.625008325,1.987351846,1.204120057,2.349695367,1.14557531,1.566463578,2.349695367,21.0444134,1.204120057,3.132927156
"4",5,5.5329258974,5.054040551,6.1535556584,5.2264536944,5.2921131252,6.0435724756,6.3053831534,4.1395576692,5.6959777098,4.933245308,4.2044670696,2.82112299625,2.1299587105,2.1299587105,2.590734901,2.5817915978,2.5238464006,2.341651841,2.7102727934,2.890909597,5.310534123,18.169949125,1.886189809,5.5768091112
