"","Group.1","a1","a2","a3","a4","a5","a6","b1","b2","b3","b4","b5","b6","b7","b8","b9","c1","c2","c3","c4","c5","c6","c7","c8","c9"
"1",1,3.79421850939015,8.82481778116517,4.92338471106399,4.00296186368297,8.46039733110127,8.50865937663177,8.7534956492675,8.3014306634484,7.8792933663853,8.44174609885918,9.02823498897326,8.43341479861081,8.0259554897325,8.93835862324596,8.78575022899646,2.82668775485089,2.55678458719284,2.93284567591313,3.51782017123462,2.83454684235742,3.31456756145656,3.70206544193028,3.75232211903933,3.08376499295256
"2",2,3.08754526500439,6.70495874029989,3.25770642805895,2.24459519366885,6.45953728542157,6.67013749586151,6.74032238934423,6.57511319789325,5.95225533523529,6.75100251527669,7.00247175126172,6.37490856554962,6.06445650527511,6.59929404805773,6.84549276978214,2.10906625652954,1.94787607566222,2.22862535321667,2.60965662486836,1.96101148202876,2.38080406581469,2.95824378281639,2.98232690151799,2.10809576178313
"3",3,2.92408981080652,6.18836229740169,2.71306858775458,1.72119634146436,5.90786543070825,6.23193825349224,6.06521349084567,6.00247580101762,5.60116961317137,6.07000646518746,6.26848136123766,5.28161176662174,5.48046797225071,5.68120749175546,5.92928610067019,1.78531679800855,1.76795476270771,2.05495423343355,2.29769796027273,1.54511454985816,2.03805522430057,2.66246971862482,2.70071021860283,1.82248683526469
