id,city,district,土地面積,水田0101,旱作0102,果園0103,水產養殖0104,畜牧0105,農業相關設施0106,未細分_02森林使用,針葉林0201,闊葉林0202,竹林0203,混淆林0204,灌木林0205,其他森林利用土地0206,未細分_03交通使用,機場0301,一般鐵路及相關設施0302,高速鐵路及相關設施0303,捷運及相關設施0304,國道0305,省道0306,快速道路0307,一般道路0308,道路相關設施0309,港口0310,未細分_04水利使用,河道0401,堤防0402,溝渠0403,水庫0404,湖泊0405,蓄水池0406,水道沙州灘地0407,水利構造物0408,防汛道路0409,海面0410,未細分_05建築使用,商業0501,純住宅0502,混合使用住宅0503,製造業0504,倉儲0505,宗教0506,殯葬設施0507,其他建築用地0508,政府機關0601,學校0602,醫療保建0603,社會福利設施0604,公用設備0605,環保設施0606,未細分_07遊憩使用,文化設施0701,公園綠地0702,休閒設施0703,礦業及相關設施0801,土石及相關設施0802,鹽業及相關設施0803,未細分_09其他使用,溼地0901,草生地0902,裸露地0903,營建剩餘土石收容相關設施0904,空置地0905
135,高雄市,大樹區,6698.11,18.85,398,2370.65,2.68,12.16,17.31,0,0,424.28,266.49,667.16,0,0,0,0,10.05,0,0,8.71,35.98,0,208.57,18.25,0,0,420.81,23.48,55.39,0,0,6.2,199.16,4.37,10.22,0,0,36.17,258.14,13.07,67.76,69.71,82.2,77.14,20.35,299.22,50.18,0.08,1.65,26.44,3.76,0,1.06,97.87,167.34,0,12.74,0,0,0,23.49,0.14,2.06,258.92
131,高雄市,小港區,4544.26,36.94,65.1,103.23,0.7,1.21,4.31,0,0,115.63,7.43,134.06,0,0,0,199.41,0,0,0.29,0,35.09,0,358.2,95.27,289.7,0,0.9,18.1,45.31,79.45,0,0.46,0,0.16,0,434.29,0,86.19,252.75,58.02,1441.5,212.68,11.4,47.35,15.83,50.56,72.08,1.82,2.52,102.29,42.45,0,25.97,78.34,13.64,0,2.96,0,0,0,0,1.29,0.15,846.56
105,臺南市,山上區,2787.8,8.03,449.78,703.95,0.36,12.19,8.51,0,0,261.68,112.61,491.35,0,3.59,0,0,0,0,0,0,3.75,0,79.94,1.83,0,0,57.74,17.57,29.52,0,0,19.83,2.53,0.15,5.42,0,0,3.16,57.92,1.07,98.28,40.11,3.5,11.68,4.61,27.12,4.34,0.01,0.62,27.86,0.31,0,1.1,3.97,0.03,0,0.18,0,0,0,104.36,49.33,0,54.79
33,臺北市,中山區,1368.21,0,47.12,6.55,0,0.12,0.81,0,0,371.12,9.66,24.46,0,0,0,0,1.55,0,0,0.71,7.26,0,56.84,13.46,62.79,0,3.24,4.08,0,0,0,0.48,0,0,0,143.27,0,4.05,100.46,12.29,11.44,14.28,5.94,0.34,5.18,27.22,22.06,0,1.95,55.31,1.42,0,0.73,5.15,1.87,0,0,0,0,0,7.34,7.72,0,46.94
351,基隆市,中山區,1052.38,0,10.52,3.42,0,0,0.33,0,0,137.57,0.32,0,0,0,0,3.63,0.2,0,6.57,19.15,11.61,17.11,216.99,78.16,0,0,61.06,1.23,0.64,0,0,0.12,0,6.9,0,0,0,121.57,117.74,174.88,11.77,2.31,7.71,15.55,15.69,80.67,59.32,2.1,1.37,2.53,1.33,0,20.1,161.39,12.49,0,0,0,0,0,2.74,0,0,16.98
34,臺北市,中正區,760.71,0,35.04,0.21,0,0,0.09,0,0,152.99,2.49,259.32,0,0,0,0.22,1.62,0,0,0,13.18,2.88,54.82,23.71,66.47,0,0.18,11.97,0.72,0,0,0.94,0.12,0.04,0.56,249.55,0,12.09,97.49,20.79,4.55,10.8,6.41,2.33,8.58,24.42,45.31,4.24,1.01,2.43,4.75,0,9.98,52.66,1.4,0,0,0,0,0,110.04,47.74,0,28.7
347,基隆市,中正區,1021.18,0,0.28,0,0,0,0.12,0,0,4.7,0.49,0,0,0,0,0,5.23,0,4.77,0,23.21,8.36,132.88,38.17,0,0,14.52,1.44,0.04,0,0,0,0,0.07,0,0,0,68.3,107.26,65.01,0.05,1.31,4.9,0,12.94,54.84,49.16,20.49,1.21,1.67,0.13,0,54.56,49.42,0.95,0,0,0,0,0,8.27,0,0,8.18
120,臺南市,中西區,626,0,0.83,1.19,17.68,0.04,0.09,0,0,0.16,0,0,0,0,0,0,0,0,0,0,9.84,0,117.38,18.38,0,0,29.06,1.47,1.48,0,0,6.08,3.34,0.76,0,0,0,52.51,143.71,65.9,1.5,5.23,11.03,0,14.55,4.78,52.61,6.92,2.56,1.16,0.26,0,8.8,12.51,2.69,0,0,0,0,0,1.24,0,0,41.52
3,新北市,中和區,2014.4,0.78,77.6,9.87,0,0.51,1.49,0,0,440.41,21.49,0,0,0,0,0,0,0,6.3,14.79,0,17.94,238.64,98.87,0,0,22.74,0.49,11.33,0,0,1.22,0,2.14,0,0,0,76.47,317.14,183,69.45,23.4,16.78,40.54,22.8,31.54,52.4,2.71,3.67,5.09,5.38,0,2.84,60.64,12.42,0,0,0,0,0,9.84,0,0.15,40.01
273,嘉義縣,中埔鄉,12950.16,39.06,1216.65,6778.99,12.27,28.38,85.05,0,5.09,2041.96,443.71,480.14,2.73,16.7,0,0,0,0,0,8.71,44.94,6.17,332.32,16.94,0,35.56,213.96,23.14,26.03,0,0,18.78,51.43,2.65,11.09,0,19.75,57.89,328.77,10.35,58.84,47.01,23.63,40.72,14,3.64,23.59,0.05,4.47,4.69,2.71,0,0.89,14.79,7.32,0,2.19,0,0,0,108.3,98.61,0.18,200.5
