"","Group.1","a1","a2","a3","a4","a5","a6","b1","b2","b3","b4","b5","b6","b7","b8","b9","c1","c2","c3","c4","c5","c6","c7","c8","c9"
"1",1,2.91743164842857,6.501292741,4.08888435716667,3.68438789466667,6.08207218742857,5.236594717,6.28312056885714,5.863163471,6.41574172585714,4.54829241585714,7.15836351171429,5.56366639328571,6.14434687085714,4.98765601542857,5.32127641442857,2.4785004294,2.2972484066,2.504792341,2.67983410033333,2.49230213316667,2.88262882328571,2.90299767228571,2.596821085,2.1718256644
"2",2,2.22510926491667,4.539893065,2.20794290623077,1.63808691015385,4.15032634984615,4.99934053323077,4.36284426407692,4.13467224315385,3.90249389223077,4.39761978369231,4.75502356938462,5.27611303253846,4.12934961476923,4.05930441684615,3.94508695523077,1.1274896995,1.02443526216667,1.22863745981818,1.45628872581818,1.16971066175,1.41136578533333,1.91252809566667,1.94053719246154,1.34850330441667
"3",3,3.09330969715385,5.71546794561538,2.57955152991667,2.27403329,5.93664367530769,6.60125209215385,6.12900074176923,6.57314260192308,5.93321059815385,6.75137141838462,6.21744718707692,4.67302492,5.87963105407692,5.51308172184615,5.72560438061539,1.65486607183333,1.39929893246154,1.94476961430769,1.88334841215385,1.28166526092308,1.77849494738462,2.57527293461538,2.83156267323077,2.38038195346154
