"","a1","a2","a3","a4","a5","a6","b1","b2","b3","b4","b5","b6","b7","b8","b9","c1","c2","c3","c4","c5","c6","c7","c8","c9"
"1",2,5,5,0,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,3,3,2
"2",2.74676195174666,5,5,4,5,5,5,6,7,8,8,9,8,9,10,2.29575081354212,2.19834659358172,2.50173991522741,2.81349585584451,2.07525585737188,3,3,3,2.34647585954954
"3",2.77656909344309,5,5,5,5.14779927637788,5,5,2,3,2,7,6,2,1,3,2,1,2,2,1,1,3,3,1
"4",4,6.5504930309158,3.99854889108475,2.97481047824407,6,6,6,4,4,7,5,6,5,4,4,2.57066732082347,2.4989526953434,2.79253319363426,3.04720172873684,3,3,3,3,2.61810261522449
"5",2,1.54932607183173,10,10,0,0,0,0,0,0,0,5,0,0,5,2.10586957235496,1.9936078647784,2.29900292935441,2.64413359094805,1.93129144461907,2.40786539058218,2.97370555952616,3.00819816244474,2.16630036262769
