"","Group.1","a1","a2","a3","a4","a5","a6","b1","b2","b3","b4","b5","b6","b7","b8","b9","c1","c2","c3","c4","c5","c6","c7","c8","c9"
"1",2,4.39476908,8.36517894666667,3.27857579733333,3.80606104,6.35968078933333,8.47269560266667,8.04833638933333,9.31482808933333,8.47050028933333,8.78953816,7.52085114666667,6.46280681866667,7.09649193333333,7.09868724666667,8.78953816,2.01208409733333,1.641483212,2.01208409733333,2.38268498266667,1.641483212,1.641483212,3.651371996,4.02197288133333,2.38268498266667
"2",3,3.2419582496,5.8712820892,2.1650402964,2.3255663948,6.487372562,6.5413556698,5.3456390424,6.0750410458,5.9477472404,6.7488769358,6.1278249662,5.089402412,5.9672166588,5.57443677,5.445576154,1.4604530264,1.3678923106,2.1081267726,2.0240658254,1.4166945214,2.0327849942,2.5963977932,2.7954192906,3.2717344798
"3",4,2.39596973278571,4.25787134628571,2.59596183953846,1.66695580415385,4.38584196657143,5.17954553507143,4.80770450564286,4.355344132,3.80610017042857,4.61819178471429,5.09634273328571,4.65686544771429,4.40586141785714,3.99130140464286,3.93993858371429,1.31645267284615,1.12745221385714,1.494087117,1.56652928685714,1.15326026985714,1.57375586057143,2.08326117757143,2.17517196971429,1.47745790114286
"4",5,2.09653573616667,5.71943390766667,2.2576284975,2.512895006,5.4702821655,5.40329706066667,5.7056894275,5.65316617383333,5.70805846866667,3.828083422,6.3114337315,4.75640760733333,5.39300015916667,5.55659571366667,5.57485122766667,2.0842156995,1.93317234716667,2.10612562583333,2.10612562583333,1.71613408533333,2.2579544255,2.14942516166667,2.17094865033333,1.63030019516667
"5",6,2.95486740425,5.987175001,4.0592446275,2.724011524,5.5931459872,4.8811164274,5.5921250068,5.406046579,6.0180720376,5.8077495722,6.066317098,5.9428927416,5.5923113784,4.1937144748,4.1526358958,1.4115375175,1.4115375175,1.190119201,2.372581049,2.400539533,2.39163557375,2.6878891485,2.02427754725,2.006597118
