v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v41,vI1,sexgp,agegp,edugp,weight,t
30,1,1,2,1, , , , ,3,3,3,4,3,3,4, ,3,5,5,3, ,0,0,0,0,0,0,0,0, , , ,3, ,2, , , ,2, ,2,6,1,1.547539118,64000030
35,1,1,5,1, ,0, , , ,0,0,0, , , , , , , ,3, ,0,0,0,0,0,0,0,0, , , , , , , , , ,5, ,2,6,1,1.003922549,10010060
56,1,2,2,1,1,0, , ,10,10,10,8,10,8,6,3,10,10,10,3, ,0,0,0,0,0,0,0,0,1,1,2,1,2,1,3,2,2,3, ,1,4,3,.724687042,64000050
74,1,3,5,2,2,8,0,0,8,5,8,5,7,8,8,8,7,7,7,3, ,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,2,0,2,2,1,2.607204783,68000030
49,1,6,6,6,1,10,0,0,10,10,10,10,10,10,0,10,10,10,10,3, ,0,0,0,0,0,0,0,0,2,2,2,2,2,3,3,3,3,2,0,2,5,1,.917506831,68000020
89,1,2,2,5,4,10,0,0,9,10,9,8,8,9,10,10,8,9,9,3, ,0,0,0,0,0,0,0,0,3,3,3,3,2,3,4,4,3,1,0,1,1,2,1.525487389,68000040
89,1,2,3,2,4,10,0,0,8,10,9,5,4,7,7,10,5,3,7,3, ,0,0,0,0,0,0,0,0,2,3,3,3,1,1,4,4,2,1,0,2,1,2,1.322749303,65000140
60, ,5,4,1,2,2,0,0,0,10,10,5,5,0, ,0,0,0,0,3, ,0,0,0,0,0,0,1,0,1,1,1,1,2,3,4,3,1,1,0,2,3,2,.793833719,65000210
43,1,2,2,3,4,10,0,0,10,10,10,5,5,5,5,10,5,10,10,3, ,1,1,1,0,0,0,1,0,3,2,3,3,3,2,3,4,3,2,0,1,5,2,.595885141,65000160
41,1,2,2,1,1,7,0,0,8,7,8,8,7,6,10,9,10,8,7,3, ,0,0,0,0,0,0,0,0,3,1,1,3,2,3,4,4,2,2,0,1,5,2,.595885141,65000140
45,1,3,2,1,4,8,0,0,5,5,6,7,4,7,6,5,4,8,5,3, ,0,0,0,0,0,0,0,0,2,2,2,2,2,3,3,3,2,2,0,2,5,2,.520397705,65000010
73,1,4,4,1,4,10,0,0,10,10,10,10,10,10,10,10,10,10,10,3, ,0,0,0,0,0,0,1,0,3,2,3,4,1,3,3,3,3,2,0,2,2,3,1.119777158,68000010
63,1,1,5,1,2,10,0,0,8,10,10,8,10,10,10,8,8,10,10,3, ,0,0,0,0,0,0,0,0,1,1,3,1,1,3,4,3,1,2,0,2,3,3,1.265434071,63000030
47,1,2,3,3,2,10,0,0,10,10,10,10,10,10,10,10,10,10,10,3, ,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,5,0,2,5,1,.906260114,10007080
52,1,6,2,3,4,4,0,0,6,7,7,6,6,8,8,8,8,9,8,2, ,0,0,0,0,0,0,1,0,2,2,3,3,2,3,3,4,4,5,0,1,4,2,.890218968,66000180
57,1,2,3,2,4,8,0,0,8,6,8,10,8,6,7,8,7,7,8,3, ,0,0,0,0,0,0,0,0,3,3,3,3,3,2,3,4,2,2,0,2,4,2,.575118717,10007030
39,1,2,4,3,4,7,0,0,7,5,6,8,6,9,9,6,7,10,5,2, ,0,0,0,0,0,0,1,0,2,2,2,3,2,2,3,3,3,2,0,2,6,2,.816477917,66000090
49,1,6,5,2,4,8,0,0,8,8,8,7,7,7,7,5,8,8,8,3, ,0,0,0,0,0,0,0,0,2,2,2,2,3,2,4,2,2,2,0,2,5,3,.371269768,10008030
34,1,3,2,2,4,7,0,0,6,7,6,8,8,8,7,8,8,9,8,3, ,1,0,0,0,0,0,0,0,2,1,1,1,1,3,2,3,1,2,0,1,6,3,.702907413,66000130
52,2,6,2,3,2,8,0,0,5,5,5,5,3,3,5,6,3,3,6,2, ,0,0,0,0,0,0,0,0,1,1,1,1,3,1,3,2,1,2,0,1,4,1,1.335925694,10013040
48,1,2,5,2,4,10,0,0,10,7,8,7,8,7,8,8,8,8,7,3, ,0,0,0,0,0,0,0,0,3,2,3,4,3,4,4,4,4,2,0,1,5,1,1.163057856,67000200
88,1,2,2,4,4,7,0,0,5,8,6,5,6,7,5,8,7,8,9,3, ,0,0,0,0,0,0,0,0,3,1,3,3,3,3,3,2,2,1,0,1,1,2,1.630052483,10020010
80,1,3,2,1,4,5,0,0,7,6,7,3,6,8,8,5,7,7,9,2, ,0,0,0,0,0,0,1,0,3,3,3,3,1,2,3,3,2,1,0,2,1,3,1.44807418,64000050
72,1,2,5,3,2,8,0,0,8,6,8,8,6,6,6,5,5,5,8,2, ,0,0,0,0,0,0,1,0,3,3,3,3,1,3,3,4,2,1,0,2,2,3,1.618879333,64000120
65,1,3,4,2,4,8,0,0,8,8,7,9,8,9,10,8,8,6,7,3, ,0,0,0,0,0,0,0,0,3,3,3,3,2,2,3,3,3,2,0,2,3,3,.665464306,67000350
