"","sex","variable","value"
"1","M","v36",2.64508464366741
"2","F","v36",2.19328841747325
"3","M","v35",2.06544188296404
"4","F","v35",1.80119999876993
"5","M","v34",2.84610917955639
"6","F","v34",2.44797120624062
"7","M","v33",2.4504360261994
"8","F","v33",2.1161480467265
"9","M","v32",2.11454436749701
"10","F","v32",1.85555517848332
"11","M","v31",2.24372103725918
"12","F","v31",1.95188474966228
