"","Group.1","a5","a6","b1","b2","b3","b4","b5","b6","b7","b8","b9","c1","c2","c3","c4","c5","c6","c7","c8","c9","marrgp","incogp","sexgp","agegp"
"1",1,7.07460659138462,6.96037810553846,7.21028184838462,7.75811919738462,7.11534934938462,7.95577349838462,8.90539891107692,7.81816359923077,7.19632615515385,8.344769488,8.12322591484615,2.58861811554545,2.36722346266667,2.8525983239,3.08154165283333,2.888376523,3.22418041430769,3.06163975930769,3.3633089455,3.05469817384615,3.05046728776923,25.83667572125,1.754280801,6.30777417738462
"2",2,6.93060134490625,7.31704932632258,7.21116039890625,7.05831160103125,6.235540745875,6.9622273589375,7.27395480119355,5.96087397884375,6.46319501071875,5.959734362875,6.6676846750625,2.40319576922581,2.28248385790323,2.47599214770968,2.76071048548387,1.87494958851613,2.64945124603125,3.18222105828125,3.34270254715625,2.36464655125,1.60287344653125,20.5614319603226,1.623419050375,3.00103710153125
"3",3,6.43484332454545,7.00380208736364,6.92036402427273,6.55778415474545,6.0432295536,6.64121299905455,6.95073660918182,5.89168984523636,5.92468512721818,5.92589351489091,6.41717588090909,2.02014668340741,1.97186148087273,2.32003388715094,2.67971540788679,1.78231232440741,2.33034839481818,2.85055551230909,2.92664087787273,2.23472322405556,1.66134690023636,40.7894053711538,1.41230722305455,2.69846674952727
