"","Group.1","a5","a6","b1","b2","b3","b4","b5","b6","b7","b8","b9","c1","c2","c3","c4","c5","c6","c7","c8","c9","marrgp","incogp","sexgp","agegp"
"1",1,8.15559981182759,8.89622408824138,9.16779028751724,8.73999638575862,7.9348334847931,8.80983327417241,9.62519623992857,7.4520561522069,7.84165351844828,7.45981212165517,8.738855373,2.94156860825,2.79543208744828,3.17919614042857,3.49473480817857,2.34213607082143,3.16531155289655,3.936540675,4.18767594389655,3.08024501346429,1.30992205055172,26.728222052069,2.0111168832069,2.68324962710345
"2",2,6.03466646298387,6.36534091754098,6.13229328062903,6.03440994627419,5.64523453691935,6.17335403712903,6.40659178130645,5.59156811514516,5.57446297824194,5.60070496470968,5.87931944509677,1.90896905544068,1.81299501261667,2.08939222649123,2.48338214525424,1.8134204407541,2.29293569753226,2.61917669872581,2.65860087919355,2.12313413006452,1.7874453863871,35.406086000614,1.32451232066129,3.389030222
"3",3,6.42375306133333,6.42375306133333,6.42375306133333,6.42375306133333,5.87071618,5.60747383866667,6.16051072,6.16051072,6.16051072,6.42375306133333,5.58525636466667,1.61034097133333,2.15010175333333,1.886859412,1.886859412,1.33382253066667,1.886859412,2.41334409466667,2.67211574866667,1.628087758,2.395597308,30.5810586733333,1.597064872,2.94863418933333
"4",5,6.9336372728,6.7821309602,7.4289741652,7.4941454982,4.8122047176,6.5850787936,7.146198897,6.4188602218,6.5074303052,7.8407553944,6.8295577318,2.3599812816,2.0885994496,2.6313631136,2.7354426546,2.2559017406,2.8747583326,2.6621967084,3.06204385525,2.3952174186,4.739874563,33.632661453,1.2646160778,5.5837699346
"5",6,3.064350779,3.064350779,2.626586382,3.064350779,2.626586382,3.502115176,2.626586382,3.064350779,2.188821985,3.064350779,3.064350779,0.437764397,0.875528794,1.313293191,0.875528794,0.437764397,0.875528794,1.313293191,1.751057588,1.313293191,2.626586382,15.321753895,0.875528794,1.751057588
