"","a1","a2","a3","a4","a5","a6","b1","b2","b3","b4","b5","b6","b7","b8","b9","c1","c2","c3","c4","c5","c6","c7","c8","c9"
"dataA",3.16494044467482,6.90163821279311,3.32810350448924,2.33856635285788,6.61468395832839,6.84938766525359,6.84015427272396,6.67425414276446,6.19045951195931,6.78392218078204,7.07787809468083,6.2711168079279,6.19456779514546,6.64364889261309,6.81326712816993,2.09746237676236,1.98420771300661,2.2892853651636,2.64231475063703,1.92757428164111,2.4086157948461,2.973283094668,3.00836156137662,2.16386197984621
"dataB",3.19531185014621,7.01306998286605,3.05708920904607,2.43594499218214,6.61239698500095,6.99782578270295,6.98324620196293,6.80783908976489,6.18404918767262,6.84828005746224,7.22268029500743,6.10494356982112,6.20205116258263,6.1910132661321,6.65445832388128,2.1849222638793,2.09587071876475,2.39255892571648,2.71588792613485,1.93309519387824,2.52413040681821,2.95540928265234,3.08572316351019,2.36385807273969
"dataC",3.22736146245904,6.45575378429831,3.24199599453566,2.72209305055852,6.25819374069772,6.75388974978155,6.49852412366429,6.49376516238407,6.22466042292016,6.36879214669018,6.94436083316309,6.06289998247449,6.23737194009758,5.74117826722674,5.87135748601332,1.900506854458,1.69143869014465,2.13864804594994,2.24691621969778,1.76424544629855,2.22588676908756,2.83615636064479,2.9211174155975,2.33688750352607
