"","Group.1","a5","a6","b1","b2","b3","b4","b5","b6","b7","b8","b9","c1","c2","c3","c4","c5","c6","c7","c8","c9","marrgp","incogp","sexgp","agegp"
"1",1,11.8541774441818,12.6930458036364,13.7109994221818,13.0187061610909,11.6569104934545,13.4749878523636,13.6112736309091,10.6311447748182,11.1194314752727,9.583290616,13.3792793168182,4.45023348763636,4.128317064,4.75555728763636,4.87153545609091,2.82681333127273,4.23258299690909,5.48320477718182,6.35580349836364,4.46542096518182,1.80488427190909,18.7386378163636,2.75994848872727,1.80488427190909
"2",2,9.85385145361538,10.5568358037692,10.2637377052308,10.0477832890769,9.20406558984615,9.80266740007692,10.5594189974615,8.63806706553846,8.69862005038462,8.39610542453846,9.47982945438462,3.00844403458333,2.91412171584615,3.26434830141667,3.707876997,2.57069568375,3.49401322269231,4.17299198038462,4.01233509184615,3.2978264325,2.35222338238462,42.3643850225,2.14279839846154,2.71670862076923
"3",3,5.4114717305,6.00568454088462,5.564278541,5.22626265930769,4.64920093242308,5.43332381207692,5.60683000972,4.38391813711538,4.75037829111538,4.82958175765385,5.05802103996154,1.671663968,1.64668390173077,1.83886048546154,2.28301310396154,1.52854933484615,1.891781305,2.53994364892308,2.58046912842308,1.83838953153846,1.50782581988462,45.3202876198077,1.38356513896154,2.58320851188462
"4",4,4.75512828690909,5.08086079909091,4.87161581077273,4.86321464513636,4.72756734445455,4.85012677936364,5.15086030095455,4.62936759622727,4.74347610345455,4.68676173940909,4.46281880918182,1.73588305257143,1.65291027180952,1.65932587475,1.99941388285714,1.54728456386364,2.00218438745455,2.27415629877273,2.31623706763636,1.75277572904545,1.41968440795455,24.2855581955,1.03359637590909,3.06365959272727
"5",5,5.32757178190909,5.5933284698,5.62208479527273,5.35884357509091,5.36922179036364,5.26594760763636,5.61383858890909,5.42369222036364,5.79367245645455,6.07710214227273,5.26182092418182,1.6260277575,1.81766262918182,1.9328833863,2.29043779718182,1.7488331231,2.225869621,2.15229131518182,2.20045701418182,2.07409756772727,1.598141837,31.7536890055,1.18233753481818,3.91547162227273
"6",6,6.19147728741176,5.98824527429412,6.30420656858823,6.57363930111765,5.44637983805882,6.46640419952941,7.13617293747059,6.57064694823529,5.83762638870588,6.766239497,6.70188667917647,1.9269254621875,1.6751129069375,2.42896680506667,2.66421196726667,2.27664872764706,2.65684857811765,2.59433045335294,2.7476751549375,2.24629441694118,2.58078735776471,23.2762756496875,1.32344811594118,5.50852138376471
