"","Group.1","a5","a6","b1","b2","b3","b4","b5","b6","b7","b8","b9","c1","c2","c3","c4","c5","c6","c7","c8","c9","marrgp","incogp","sexgp","agegp"
"1",1,8.85789194928549,9.16686938155401,9.16291786170988,8.96179803684105,7.8680621877392,9.10011464671296,9.55509323201393,8.17124828070833,8.02480659792581,8.90077131019136,9.2978113366358,2.99201627439403,2.88543419185381,3.20813696842122,3.68303968440966,2.45795671345736,3.20709320559443,4.11309305857473,4.24543858328704,2.90256641369861,1.33462249954391,33.0030813006416,1.92084351957011,2.45215498402465
"2",2,5.96663782178023,6.1688454415534,6.12309573161485,5.96478320301881,5.67040833942213,6.08904903119237,6.30686713748011,5.63140648668265,5.63657208256819,5.82925514482077,6.02774444330988,1.78592703616934,1.67773881393767,1.97791518136857,2.28950946205808,1.72577697289769,2.11810004773579,2.59877850715011,2.60862527183794,1.88692027779706,1.76978676425429,38.1507728104773,1.33777671044099,3.50736275616855
"3",3,4.97861701438158,5.331717317,5.35028276594737,5.28004451807237,4.75280838003289,5.25306889894079,5.51653864381579,4.80853555868667,4.45291302462914,5.50640473957237,5.268535519,1.63293080796644,1.56708514710667,1.76295324704636,2.10868078264901,1.66496626588,1.88279657056579,2.50414074654605,2.50276476094079,1.80527060395364,2.56784582086184,31.7601278527397,1.29655110897368,3.51709369357895
"4",4,4.62421266796296,5.0119652932963,4.97865219259259,4.78901111562963,4.63980208907407,4.91909073962963,5.6705667227037,5.26207153444444,4.44060937137037,5.73289942951852,6.18751702262963,1.77395552692,1.87885621896,2.00913482864,2.35613466951852,1.89717859512,2.25031154432,2.58784774137037,2.70290416603846,2.00987688342308,3.81953364785185,23.2086038398148,1.24917044588889,4.41622289225926
"5",5,6.27056948372626,6.40252571133871,6.73588775929189,6.49652973265426,6.3067810865082,6.53496384959358,6.99945664454787,6.74517523408108,6.42644919722581,7.21313492452151,6.79297507815789,2.16563273414634,1.92477430639506,2.23289203520513,2.65390496975,2.03890895508485,2.63376284785057,2.85715512888571,2.72551010677907,2.3849956380355,5.10108523369231,20.8092037680833,1.81111986125641,5.53270045278974
"6",6,6.25288592620833,6.77640274329167,6.711589409625,6.87247693695833,6.4908385833913,7.02288149970833,7.05715015116667,6.475628417875,6.42624478658333,7.10313179258333,6.537982632,1.99527016947826,1.96357863979167,2.39660698756522,2.77206502716667,1.99036682866667,2.63365703725,2.88721062670833,3.25630606370833,2.24998170334783,6.06746545925,52.580391161087,1.392293980375,3.477527888875
