"","Group.1","a1","a2","a3","a4","a5","a6","b1","b2","b3","b4","b5","b6","b7","b8","b9","c1","c2","c3","c4","c5","c6","c7","c8","c9"
"1",1,5.4094230295,11.2309608839857,4.78224237858571,3.04522744992143,11.2656292656786,11.3359615214929,11.6532132031286,10.958300902975,9.75137606006429,11.2559026672786,11.9289186650107,10.3289665091821,10.0538169253321,10.952683148525,11.8347782383464,3.9736535109781,3.82505989044404,4.1763348294529,4.6958484038705,3.031017811,4.10331951927698,5.05027769218571,5.28696018225357,3.70055034048746
"2",2,4.89316016592705,10.7491007508455,4.72815061880303,2.94596962643636,10.0768177529273,10.6307024439424,10.3861619580485,10.5316842278242,9.16321218311818,10.2976527425909,10.8076830169818,9.06682871891515,9.1716267065303,9.67133058349394,10.4731510570182,3.13270077815644,3.05780421603951,3.44806620942813,3.93112904481346,2.8148593886128,3.4236988418845,4.61493857349697,4.74480191148788,3.12923944214329
"3",3,2.81390209931034,5.9462764969687,2.78468497637089,1.88989655089045,5.62954362425196,5.96083222184194,5.77586608627856,5.71612460606416,5.40908731037304,5.90910101112989,5.92502478383359,5.06572200226176,5.2469916240314,5.36771601913302,5.65682673818466,1.73082391062085,1.67188647704724,1.93124943797013,2.21866292395447,1.61540784653616,1.94599324531661,2.58561845886541,2.62630664745997,1.73553062164734
"4",4,2.27515550460734,5.05418137809397,2.75380687406188,1.88694788926864,4.83168551674157,5.05862208246489,4.93620721527069,4.91696889908286,4.62068727285815,5.10775844041795,5.28057862623562,4.78720654902384,4.57681356870126,4.98438195930295,4.93215040702244,1.46255983111932,1.39955141287801,1.63139996203693,1.86649630210014,1.40103182724187,1.73634226816197,2.19976742197753,2.16023138548174,1.56654718851268
"5",5,2.44576142388686,5.54288715793238,2.63223817198569,2.03378596862811,5.23418362686453,5.5135135670805,5.61071649436071,5.38312736563879,5.10694420160142,5.39745414787922,5.73295614055338,5.30120850945438,5.11368255579643,5.68372913148307,5.50843093866075,1.62627166104291,1.44866530078004,1.77039106206518,2.11367896319414,1.63514935368877,1.99925239338225,2.32264886143548,2.31785017744444,1.8200357677396
"6",6,3.08687049216857,7.1259106883252,3.88854316499448,3.27220333490959,6.89303565352717,6.7435440627832,7.06037290418817,6.64116550087234,6.55378912322312,6.79146767127346,7.22754212932086,6.81026146772087,6.70489289280488,7.18864370502965,7.0394858368939,2.15306716707229,1.94069513365455,2.29947269087616,2.81260335420536,2.18127250701201,2.77259104428889,2.91362033575487,2.88873343615714,2.43302878625507
